Fecha,Ano,Mes,Dia,DiaSemana,EsFestivo,Indice_ONI,AportesHidricosEnergia,MediaHistoricaAportes,VolumenUtilPorcentaje,GeneracionHidraulica,GeneracionSolar,GeneracionTermica,PrecioBolsa
2019-01-01,2019,enero,1,martes,True,0.7,59.8273,96.15,0.7141,89.45846812,0.076199,53.63828946,295.30676666666665
2019-01-02,2019,enero,2,miercoles,False,0.7,57.7844,96.15,0.7101,115.87822289,0.077999,57.5383728,335.85223333333334
2019-01-03,2019,enero,3,jueves,False,0.7,60.8385,96.15,0.7052,126.88702129,0.074799,56.3015895,371.5146666666667
2019-01-04,2019,enero,4,viernes,False,0.7,59.2893,96.15,0.7006,131.81259341,0.026699,55.72881024,375.7504708333333
2019-01-05,2019,enero,5,sabado,False,0.7,59.5281,96.15,0.6962,126.88078397,0.034599,52.57504738,359.64880833333336
2019-01-06,2019,enero,6,domingo,False,0.7,65.1204,96.15,0.6932,109.11574281,0.0329,53.4118011,314.06239166666666
2019-01-07,2019,enero,7,lunes,True,0.7,69.5531,96.15,0.6893,110.80516587,0.001299,53.27574896,334.1134
2019-01-08,2019,enero,8,martes,False,0.7,64.0585,96.15,0.6858,130.71661028,0.0,54.44554686,358.90271666666666
2019-01-09,2019,enero,9,miercoles,False,0.7,74.2853,96.15,0.6829,130.05533021,0.0001,52.93243321,323.3
2019-01-10,2019,enero,10,jueves,False,0.7,70.6604,96.15,0.6794,123.62885119,0.0,59.15957208,330.52299166666666
2019-01-11,2019,enero,11,viernes,False,0.7,61.1832,96.15,0.6755,127.84300031,0.0,59.51339496,342.89375
2019-01-12,2019,enero,12,sabado,False,0.7,64.7385,96.15,0.6724,118.61268547,0.0,59.862149810000005,292.292125
2019-01-13,2019,enero,13,domingo,False,0.7,66.0276,96.15,0.6696,114.91450821,0.0,49.99261296,256.0552083333333
2019-01-14,2019,enero,14,lunes,False,0.7,71.7538,96.15,0.666,131.93611391,0.0,54.04704428,268.316825
